site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
61,12.971637,120.830057,29,7,3718,3373
62,12.40737,121.046508,29,7,3945,3644
63,12.340134,121.170515,29,7,4018,3676
64,13.230624,121.257164,29,7,3858,3249
65,10.652135,119.493672,29,7,3568,4486
66,10.668567,119.470909,29,7,3554,4479
67,9.366401,118.456632,29,8,3301,304
68,8.714167,117.743065,29,8,3064,617
69,8.08227,123.506419,30,8,1094,920
70,7.868412,123.484973,30,8,1114,1023
71,7.786051,122.982379,30,8,887,1062
72,7.650617,122.850755,30,8,843,1127
73,7.507213,123.351302,30,8,1101,1196
74,7.861127,122.520327,30,8,657,1026
75,14.14799,122.924476,29,7,4414,2808
76,13.604707,123.122114,29,7,4640,3069
77,13.50613,123.277828,29,7,4736,3117
78,13.283444,123.527968,30,7,107,3223
79,12.927565,123.805392,30,7,320,3394
80,12.89,123.799085,30,7,326,3412
81,12.716405,124.008861,30,7,464,3496
82,10.898434,122.647957,30,7,209,4368
83,10.752442,122.485416,30,7,160,4438
84,11.363732,122.739258,30,7,159,4145
85,10.759446,121.998863,29,7,4729,4435
86,10.763421,121.986677,29,7,4723,4433
87,11.143128,122.468119,30,7,76,4251
88,10.556672,122.920172,30,7,403,4532
89,10.189371,122.944362,30,7,482,4709
90,9.963671,122.817143,30,8,463,17
91,9.119513,123.035243,30,8,710,422
92,9.889339,124.022938,30,8,1046,53
93,11.048044,124.527249,30,7,1065,4296
94,11.170972,124.512619,30,7,1033,4237
95,11.184684,124.942315,30,7,1233,4231
96,11.120902,124.96439,30,7,1256,4261
97,11.049578,124.990612,30,7,1283,4296
98,10.690659,125.000179,30,7,1358,4468
99,10.38718,124.763971,30,7,1305,4614
100,7.95065,123.737432,30,8,1223,983
101,7.944943,123.784221,30,8,1246,986
102,8.091085,124.233147,30,8,1438,916
103,8.27297,124.711303,30,8,1638,828
104,7.981357,125.161778,30,8,1895,968
105,7.83664,125.140285,30,8,1906,1038
106,7.659747,126.05561,30,8,2366,1123
107,7.414352,125.737122,30,8,2249,1241
108,6.939792,126.005324,30,8,2439,1468
109,6.703197,125.300778,30,8,2133,1582
110,7.056759,124.858556,30,8,1878,1412
111,6.54765,124.877744,30,8,1950,1657
112,6.538818,124.665855,30,8,1850,1661
113,6.647342,124.07798,30,8,1557,1609
114,9.299643,125.969187,30,8,2070,336
115,9.064081,125.596527,30,8,1933,449
116,8.922705,125.992527,30,8,2144,517
117,8.568238,125.894741,30,8,2155,687
118,8.060933,126.037643,30,8,2300,930
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
61,2007/01/01,5227,2411,2116,587,1873,275,652,1718,4083,2344,2,0,N\A
61,2007/01/17,4328,1594,2116,513,1296,280,594,1159,4106,427,20,0,N\A
61,2007/02/02,4304,1472,2116,483,1213,229,474,337,3574,2283,43,0,N\A
61,2007/02/18,6450,2795,2116,391,1812,193,576,334,3144,2076,59,0,N\A
61,2007/03/06,8199,4390,2116,263,2658,80,547,3022,2498,2079,73,0,N\A
61,2007/03/22,8002,3865,2116,246,2217,126,470,315,2274,1949,91,0,N\A
61,2007/04/07,8377,5314,2116,283,3206,154,570,3004,1729,1804,105,0,N\A
61,2007/04/23,6789,4793,2116,673,3519,362,966,1194,2077,-116,116,0,N\A
61,2007/05/09,6695,3811,2116,504,2546,290,808,2939,1696,1464,137,0,N\A
61,2007/05/25,5972,3511,2116,642,2546,379,965,2572,2394,-353,157,0,N\A
61,2007/06/10,6044,3426,2116,629,2551,307,942,3698,2586,-346,166,0,N\A
61,2007/06/26,6236,3205,34966,509,2196,279,604,5342,2928,-310,184,3,N\A
61,2007/07/12,5171,2048,2185,478,1502,250,501,3027,1959,1451,201,1,N\A
61,2007/07/28,5156,1861,2116,434,1358,207,259,1122,2317,-264,212,0,N\A
61,2007/08/13,5840,2202,2185,385,1466,201,432,369,2055,1770,235,1,N\A
61,2007/08/29,7176,3354,2116,343,2087,153,479,3060,1780,1903,249,0,N\A
61,2007/09/14,8389,6196,3226,339,3870,221,900,5913,2963,92,257,3,N\A
61,2007/09/30,6486,4538,34837,622,2919,533,720,2470,2838,366,285,1,N\A
61,2007/10/16,7495,6251,35878,636,4442,405,1195,5924,3371,319,289,3,N\A
61,2007/11/01,6093,3390,2116,582,2398,333,916,1699,3121,2335,306,0,N\A
61,2007/11/17,6097,2721,2189,438,1807,248,821,4024,3715,2401,336,1,N\A
61,2007/12/03,5434,2677,2116,573,1937,352,958,278,4052,2340,347,0,N\A
61,2007/12/19,4098,1878,2185,686,1639,410,886,1718,4049,2346,354,1,N\A
62,2007/01/01,5237,3975,4164,1160,3711,617,1980,3447,4332,454,6,0,N\A
62,2007/01/17,4769,3235,2116,1095,3092,564,1722,640,3853,2228,27,0,N\A
62,2007/02/02,3949,2631,4164,1277,2944,636,2011,658,3516,2172,43,0,N\A
62,2007/02/18,3497,2263,2116,1363,2829,642,2369,658,3088,2111,59,0,N\A
62,2007/03/06,3605,2165,2116,1207,2568,546,1878,3284,2443,2077,73,0,N\A
62,2007/03/22,3288,2003,2116,1309,2592,591,2100,3275,2000,1953,89,0,N\A
62,2007/04/07,3178,2009,2185,1393,2691,653,2327,2046,1950,1868,98,1,N\A
62,2007/04/23,3284,2148,2116,1413,2795,692,2359,2019,1767,1686,114,0,N\A
62,2007/05/09,3077,1804,2116,1218,2301,614,2248,3200,1697,1450,137,0,N\A
62,2007/05/25,4648,2762,34842,936,2562,462,1842,4227,1794,1323,160,3,N\A
62,2007/06/10,4946,3243,2122,990,2928,524,1677,4428,2769,-347,175,3,N\A
62,2007/06/26,7102,4418,2116,508,2998,261,853,3256,2015,1366,185,0,N\A
62,2007/07/12,4417,2340,34893,877,2265,360,569,3284,1963,1431,201,1,N\A
62,2007/07/28,4196,3081,34842,1112,2720,846,682,5813,3040,-231,209,3,N\A
62,2007/08/13,5349,2439,2185,568,1875,252,567,695,2030,1751,235,1,N\A
62,2007/08/29,8255,4960,2189,294,3076,109,692,5101,1445,1892,247,1,N\A
62,2007/09/14,7881,7387,2066,512,4322,600,837,5802,2926,84,257,3,N\A
62,2007/09/30,8679,5879,36885,255,3607,118,511,3312,2282,2222,281,1,N\A
62,2007/10/16,7078,6573,2066,790,4618,640,1003,5802,3315,314,289,3,N\A
62,2007/11/01,4972,2691,4164,813,2421,315,829,2000,3060,2338,306,0,N\A
62,2007/11/17,3240,2360,36889,1439,2819,912,1289,4236,3653,2404,336,1,N\A
62,2007/12/03,4658,2565,4164,830,2278,420,1364,603,3990,2358,347,0,N\A
62,2007/12/19,4967,2842,2116,819,2436,417,1597,2018,3987,2352,354,0,N\A
63,2007/01/01,3015,1712,2116,1201,2238,574,1327,3352,4320,462,6,0,N\A
63,2007/01/17,4222,2615,2120,972,2393,619,1589,4326,4164,378,31,0,N\A
63,2007/02/02,5507,2804,2116,571,1971,389,973,793,3503,2209,43,0,N\A
63,2007/02/18,7144,4488,2116,462,2774,356,1228,793,3074,2145,59,0,N\A
63,2007/03/06,7668,6036,2116,449,3403,515,1364,3387,2429,2084,73,0,N\A
63,2007/03/22,6736,5221,2116,700,3590,527,1545,697,2517,138,84,0,N\A
63,2007/04/07,5079,5240,2190,1264,3874,1201,2027,5769,2980,16,97,3,N\A
63,2007/04/23,4322,2662,2066,972,2452,585,1440,6277,1004,1605,117,3,N\A
