site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,29.15,116.17,28,6,173,101
2,29.024,116.189,28,6,190,116
3,52.097,141.368,26,3,820,947
4,52.105,141.371,26,3,818,946
5,52.101,141.37,26,3,819,947
6,52.088,141.345,26,3,820,948
7,52.14,141.766,26,3,839,942
8,29.15,116.17,28,6,173,101
9,29.063,116.213,28,6,188,111
10,40.297,118.055,27,4,3,1163
11,42.918,122.373,26,4,1152,849
12,43.174,122.655,26,4,1132,818
13,51.737,139.223,26,3,744,991
14,59.024,157.305,26,3,113,116
15,59.132,157.601,26,3,101,103
16,59.213,157.328,26,3,61,93
17,59.314,157.987,26,3,73,81
18,59.901,158.466,25,3,1134,11
19,61.691,158.28,25,2,605,996
20,62.462,162.526,25,2,615,904
21,62.46,162.527,25,2,616,904
22,62.46,162.52,25,2,615,904
23,62.565,162.534,25,2,584,891
24,62.457,162.528,25,2,617,904
25,62.452,162.519,25,2,618,905
26,62.473,162.54,25,2,612,902
27,62.471,162.535,25,2,613,902
28,62.475,162.611,25,2,616,902
29,62.478,162.623,25,2,616,902
30,62.467,162.623,25,2,619,903
31,62.472,162.608,25,2,617,902
32,62.473,162.612,25,2,616,902
33,62.475,162.606,25,2,616,902
34,62.473,162.614,25,2,617,902
35,64.196,170.076,25,2,482,695
36,64.194,170.03,25,2,480,696
37,64.194,170.031,25,2,480,696
38,64.194,170.033,25,2,480,696
39,64.189,170.047,25,2,483,696
40,64.192,170.026,25,2,481,696
41,64.192,170.027,25,2,481,696
42,64.194,170.027,25,2,480,696
43,64.196,170.027,25,2,479,695
44,64.194,170.032,25,2,480,696
45,64.199,170.056,25,2,480,695
46,64.194,170.028,25,2,480,696
47,63.988,171.262,25,2,611,720
48,63.99,171.272,25,2,611,720
49,63.987,171.263,25,2,611,721
50,63.988,171.265,25,2,611,720
51,64.012,171.291,25,2,605,718
52,64.031,171.275,25,2,598,715
53,64.029,171.297,25,2,600,716
54,64.032,171.285,25,2,598,715
55,64.029,171.295,25,2,600,716
56,64.033,171.3,25,2,599,715
57,64.03,171.292,25,2,599,715
58,64.03,171.295,25,2,599,715
59,64.029,171.295,25,2,600,716
60,64.029,171.3,25,2,600,716
61,64.029,171.294,25,2,599,716
62,64.028,171.298,25,2,600,716
63,64.029,171.298,25,2,600,716
64,64.031,171.3,25,2,599,715
65,64.028,171.298,25,2,600,716
66,64.027,171.295,25,2,600,716
67,64.029,171.299,25,2,600,716
68,64.029,171.297,25,2,600,716
69,64.029,171.296,25,2,600,716
