site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,11.285329,104.86298,28,7,1361,4183
2,11.231328,104.839001,28,7,1358,4208
4,11.206289,104.880867,28,7,1382,4220
5,11.210508,104.916488,28,7,1399,4218
6,11.168756,104.92255,28,7,1408,4238
7,11.139514,104.950413,28,7,1427,4253
8,11.135424,104.931886,28,7,1419,4254
9,11.085529,104.807618,28,7,1368,4278
10,11.097829,104.816336,28,7,1371,4273
11,11.118883,104.828184,28,7,1373,4262
12,11.131352,104.828403,28,7,1371,4256
17,11.051932,104.732049,28,7,1339,4295
20,11.256236,104.669843,28,7,1275,4197
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
1,2014/01/01,3165,2461,2116,1808,3483,976,3299,3787,4230,423,15,0,N\A
1,2014/01/17,3569,2692,2116,1379,2910,929,3147,1375,3864,420,29,0,N\A
1,2014/02/02,3821,2847,2185,1343,3004,864,3149,1312,3533,328,45,1,N\A
1,2014/02/18,4026,2887,2116,1132,2658,832,3120,182,3247,2039,52,0,N\A
1,2014/03/06,3428,2459,2116,1409,2879,852,3137,130,2816,2198,68,0,N\A
1,2014/03/22,3451,2230,34898,1141,2344,607,1010,4848,1578,1870,96,3,N\A
1,2014/04/07,5261,4105,34842,1075,3462,1362,3019,6496,3162,-27,99,3,N\A
1,2014/04/23,4331,3238,34838,1209,3057,806,2444,1582,1840,1548,123,3,N\A
1,2014/05/09,4509,3456,2066,1214,3208,1096,1863,6113,1362,1267,142,3,N\A
1,2014/05/25,3888,2182,34841,617,1402,815,257,5561,1587,1265,151,1,N\A
1,2014/06/10,3982,2883,34842,1227,2851,697,1792,5550,1735,1245,167,3,N\A
1,2014/06/26,3156,2474,34842,1563,3005,980,2273,5529,1778,1268,183,3,N\A
1,2014/07/12,2939,2288,2066,1596,2925,955,2543,6531,1496,1256,197,3,N\A
1,2014/07/28,3024,2659,34842,1892,3533,1494,3138,6072,1323,1491,222,3,N\A
1,2014/08/13,3447,2839,34838,1610,3304,789,2416,1590,1939,1692,235,3,N\A
2,2014/01/01,3170,1925,2116,1241,2393,651,1902,2911,3872,2328,2,0,N\A
2,2014/01/17,2903,1869,2116,1470,2673,721,2203,126,3897,2200,20,0,N\A
2,2014/02/02,2761,2098,2185,1738,3064,1026,3380,1330,3532,351,45,1,N\A
2,2014/02/18,2821,1823,2116,1463,2613,750,2796,170,3244,2123,52,0,N\A
2,2014/03/06,2691,1821,2116,1602,2782,826,3184,118,2815,1946,68,0,N\A
2,2014/03/22,3875,2553,34898,1096,2483,532,1327,4838,1579,1869,96,3,N\A
2,2014/04/07,5131,2928,34842,720,2238,432,1662,6079,1109,1673,110,3,N\A
2,2014/04/23,4019,3136,2066,1357,3181,1168,2128,4838,1449,1452,128,3,N\A
2,2014/05/09,4375,2707,34842,925,2364,640,1500,4858,1623,1328,144,3,N\A
2,2014/05/25,4670,3446,35038,1116,3072,786,2179,4864,1794,1281,160,3,N\A
2,2014/06/10,4796,3590,2066,1112,3162,779,1776,5550,1740,1243,167,3,N\A
2,2014/06/26,3335,2856,2122,1736,3474,825,2321,4714,2899,-350,184,3,N\A
2,2014/07/12,2949,2378,2066,1678,3082,1046,2059,6518,1503,1253,197,3,N\A
2,2014/07/28,2661,2548,34842,2277,3929,1208,2789,5479,2997,-257,209,3,N\A
2,2014/08/13,2726,2600,2118,2244,3926,1030,2852,3806,2523,-78,239,3,N\A
4,2014/01/01,3234,1961,2116,1302,2547,599,2080,1645,3898,2294,11,0,N\A
4,2014/01/17,3137,2141,2116,1599,3061,745,2602,173,3893,2153,20,0,N\A
4,2014/02/02,2999,2158,2116,1734,3220,855,3225,1285,3527,359,45,0,N\A
4,2014/02/18,3115,2084,2116,1520,2896,735,2854,207,3240,2074,52,0,N\A
4,2014/03/06,2883,2044,2116,1699,3076,858,3309,170,2810,2223,68,0,N\A
4,2014/03/22,4453,2140,36002,660,1720,313,680,4859,1574,1868,96,3,N\A
4,2014/04/07,2810,1020,34837,518,923,548,272,2930,1831,1817,98,1,N\A
4,2014/04/23,4446,3496,34838,1274,3314,425,2315,2879,1690,1640,114,3,N\A
4,2014/05/09,4842,3677,2066,1125,3238,810,1620,4888,1621,1327,144,3,N\A
4,2014/05/25,4873,3963,2066,1236,3586,984,1735,6472,3095,-293,147,3,N\A
4,2014/06/10,4922,3682,2066,1084,3186,751,1632,5561,1740,1241,167,3,N\A
4,2014/06/26,3834,2886,34842,1328,2980,655,1833,5405,3010,-346,177,3,N\A
4,2014/07/12,3082,3139,2066,2378,4497,1194,3458,5440,3038,-317,193,3,N\A
4,2014/07/28,4165,3237,2190,1316,3195,640,2272,6091,1322,1490,222,3,N\A
4,2014/08/13,4233,3267,34842,1288,3179,945,1225,5540,1369,1620,231,3,N\A
5,2014/01/01,3052,1930,2116,1370,2574,694,2160,1681,3897,2297,11,0,N\A
5,2014/01/17,3181,2051,2116,1335,2581,721,2171,2948,3747,2292,18,0,N\A
5,2014/02/02,2825,1994,2116,1708,3053,859,2977,1248,3524,356,45,0,N\A
5,2014/02/18,2969,1994,2116,1539,2839,770,2992,243,3238,2104,52,0,N\A
5,2014/03/06,2827,2008,2116,1702,3044,873,3301,190,2808,1957,68,0,N\A
5,2014/03/22,3911,2321,35934,948,2166,522,964,4878,1572,1868,96,3,N\A
5,2014/04/07,4639,2835,34842,867,2368,604,1622,6102,1103,1673,110,3,N\A
5,2014/04/23,3474,2966,2066,1692,3494,1397,2300,6496,3026,-131,115,3,N\A
5,2014/05/09,4180,3511,34842,1472,3587,955,2340,4049,1660,1399,137,3,N\A
5,2014/05/25,4681,3308,2118,1048,2893,582,1694,1727,2097,1371,155,3,N\A
5,2014/06/10,5020,3790,34842,1077,3249,774,1633,5582,1736,1241,167,3,N\A
5,2014/06/26,4493,3047,35934,1025,2698,588,1313,5394,3008,-347,177,3,N\A
5,2014/07/12,4269,3773,34842,1567,3902,878,2376,5426,3035,-317,193,3,N\A
5,2014/07/28,3680,3432,34842,1880,4070,981,2609,5447,2991,-256,209,3,N\A
5,2014/08/13,3993,3081,34842,1341,3124,925,1121,5551,1366,1620,231,3,N\A
6,2014/01/01,3447,2263,2116,1377,2826,678,2404,1690,3893,2285,11,0,N\A
6,2014/01/17,3565,2335,2116,1330,2804,667,2320,2958,3743,2284,18,0,N\A
6,2014/02/02,2726,2072,2116,2083,3645,973,3391,2617,3786,357,38,0,N\A
6,2014/02/18,2690,1782,2116,1622,2816,774,3095,1700,2931,2108,59,0,N\A
6,2014/03/06,2766,1947,2116,1730,3053,860,3512,208,2805,2113,68,0,N\A
6,2014/03/22,3326,2399,34842,1353,2702,697,1768,4888,1569,1866,96,3,N\A
6,2014/04/07,4855,2807,35038,774,2235,378,1779,6113,1100,1671,110,3,N\A
6,2014/04/23,4601,3228,34842,1053,2848,550,1414,4005,1542,1544,121,3,N\A
6,2014/05/09,5058,3570,2066,972,2962,1048,1469,6137,1367,1261,142,3,N\A
6,2014/05/25,5483,4207,2190,1000,3428,495,1799,4908,1793,1276,160,3,N\A
6,2014/06/10,5120,3983,3098,1102,3415,593,1865,1709,2215,1347,171,3,N\A
6,2014/06/26,4940,4420,34842,1410,4164,753,1600,5387,3008,-349,177,3,N\A
6,2014/07/12,4237,3740,2066,1573,3886,664,1722,5426,3037,-318,193,3,N\A
6,2014/07/28,3492,2870,34842,1594,3305,820,1847,5436,2991,-258,209,3,N\A
6,2014/08/13,3318,2932,2118,1826,3640,780,2131,3749,2515,-76,239,3,N\A
7,2014/01/01,3578,2697,2116,1544,3265,877,2634,3711,4212,423,15,0,N\A
7,2014/01/17,4491,3003,2116,1069,2812,629,1715,1266,3847,400,29,0,N\A
7,2014/02/02,5225,4103,2116,1171,3734,686,2251,2590,3782,361,38,0,N\A
7,2014/02/18,5873,4455,2116,829,3189,656,2303,1737,2926,2129,59,0,N\A
7,2014/03/06,5096,3486,2116,983,3026,570,2086,243,2800,2039,68,0,N\A
7,2014/03/22,4502,3194,3294,1089,2873,575,1992,2977,2164,1983,82,3,N\A
7,2014/04/07,3300,2015,34837,1212,2406,649,868,2995,1823,1821,98,1,N\A
7,2014/04/23,5741,1803,34838,306,1131,49,872,1700,1833,1562,123,3,N\A
7,2014/05/09,4777,3227,2066,967,2736,676,1453,6148,1367,1259,142,3,N\A
7,2014/05/25,4369,4022,34842,1641,4188,871,1897,6447,3091,-295,147,3,N\A
7,2014/06/10,4164,3431,2066,1434,3481,1020,1842,6137,1671,1208,174,3,N\A
7,2014/06/26,3781,2702,2066,1245,2759,1136,1595,4868,1871,1324,192,3,N\A
7,2014/07/12,3522,3378,34842,2015,4207,992,2858,5405,3034,-317,193,3,N\A
7,2014/07/28,4794,3549,34842,1095,3112,614,1750,6114,1319,1488,222,3,N\A
7,2014/08/13,4502,3900,34838,1457,3844,723,1712,3720,2511,-73,239,3,N\A
8,2014/01/01,3134,2076,2116,1442,2759,741,2318,2995,3859,2331,2,0,N\A
8,2014/01/17,2945,2117,2116,1765,3239,857,2852,234,3884,2245,20,0,N\A
8,2014/02/02,2801,2200,2116,2133,3793,1031,3765,2608,3783,363,38,0,N\A
8,2014/02/18,2804,1935,2116,1693,3013,816,3059,1727,2927,2126,59,0,N\A
8,2014/03/06,2849,2008,2116,1656,2976,864,3214,225,2802,2015,68,0,N\A
8,2014/03/22,3308,2403,34966,1370,2725,786,1915,4898,1567,1868,96,3,N\A
8,2014/04/07,2127,830,34837,653,1006,573,291,2986,1824,1821,98,1,N\A
8,2014/04/23,4191,3429,2066,1413,3452,1513,2453,4898,1444,1449,128,3,N\A
