site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
61,12.971637,120.830057,29,7,3718,3373
62,12.40737,121.046508,29,7,3945,3644
63,12.340134,121.170515,29,7,4018,3676
64,13.230624,121.257164,29,7,3858,3249
65,10.652135,119.493672,29,7,3568,4486
66,10.668567,119.470909,29,7,3554,4479
67,9.366401,118.456632,29,8,3301,304
68,8.714167,117.743065,29,8,3064,617
69,8.08227,123.506419,30,8,1094,920
70,7.868412,123.484973,30,8,1114,1023
71,7.786051,122.982379,30,8,887,1062
72,7.650617,122.850755,30,8,843,1127
73,7.507213,123.351302,30,8,1101,1196
74,7.861127,122.520327,30,8,657,1026
75,14.14799,122.924476,29,7,4414,2808
76,13.604707,123.122114,29,7,4640,3069
77,13.50613,123.277828,29,7,4736,3117
78,13.283444,123.527968,30,7,107,3223
79,12.927565,123.805392,30,7,320,3394
80,12.89,123.799085,30,7,326,3412
81,12.716405,124.008861,30,7,464,3496
82,10.898434,122.647957,30,7,209,4368
83,10.752442,122.485416,30,7,160,4438
84,11.363732,122.739258,30,7,159,4145
85,10.759446,121.998863,29,7,4729,4435
86,10.763421,121.986677,29,7,4723,4433
87,11.143128,122.468119,30,7,76,4251
88,10.556672,122.920172,30,7,403,4532
89,10.189371,122.944362,30,7,482,4709
90,9.963671,122.817143,30,8,463,17
91,9.119513,123.035243,30,8,710,422
92,9.889339,124.022938,30,8,1046,53
93,11.048044,124.527249,30,7,1065,4296
94,11.170972,124.512619,30,7,1033,4237
95,11.184684,124.942315,30,7,1233,4231
96,11.120902,124.96439,30,7,1256,4261
97,11.049578,124.990612,30,7,1283,4296
98,10.690659,125.000179,30,7,1358,4468
99,10.38718,124.763971,30,7,1305,4614
100,7.95065,123.737432,30,8,1223,983
101,7.944943,123.784221,30,8,1246,986
102,8.091085,124.233147,30,8,1438,916
103,8.27297,124.711303,30,8,1638,828
104,7.981357,125.161778,30,8,1895,968
105,7.83664,125.140285,30,8,1906,1038
106,7.659747,126.05561,30,8,2366,1123
107,7.414352,125.737122,30,8,2249,1241
108,6.939792,126.005324,30,8,2439,1468
109,6.703197,125.300778,30,8,2133,1582
110,7.056759,124.858556,30,8,1878,1412
111,6.54765,124.877744,30,8,1950,1657
112,6.538818,124.665855,30,8,1850,1661
113,6.647342,124.07798,30,8,1557,1609
114,9.299643,125.969187,30,8,2070,336
115,9.064081,125.596527,30,8,1933,449
116,8.922705,125.992527,30,8,2144,517
117,8.568238,125.894741,30,8,2155,687
118,8.060933,126.037643,30,8,2300,930
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
61,2010/01/01,3018,1665,2185,1140,2126,555,1402,2562,4304,482,5,1,N\A
61,2010/01/17,1978,714,2116,734,1096,377,846,1239,3985,412,28,0,N\A
61,2010/02/02,3995,1341,2120,490,1142,257,520,4024,3366,2254,40,0,N\A
61,2010/02/18,8069,4987,2116,327,3061,176,653,1194,3226,298,60,0,N\A
61,2010/03/06,8290,4688,2116,251,2686,161,561,279,2908,2098,67,0,N\A
61,2010/03/22,8238,5368,2116,317,3283,183,562,270,2464,1996,83,0,N\A
61,2010/04/07,8315,6112,2120,370,4022,174,679,4023,1597,1823,104,0,N\A
61,2010/04/23,7605,5038,2116,458,3367,224,783,216,1938,1638,115,0,N\A
61,2010/05/09,6380,4838,2116,835,3779,477,1407,2571,2230,-245,133,0,N\A
61,2010/05/25,5317,3591,34842,886,2898,561,1337,4611,2618,-307,151,3,N\A
61,2010/06/10,6191,2734,2190,442,1879,186,838,5562,1593,1276,166,3,N\A
61,2010/06/26,4422,1818,2116,575,1487,320,1003,1709,2134,1415,186,0,N\A
61,2010/07/12,4833,1900,3154,505,1450,273,795,2977,1996,1409,193,3,N\A
61,2010/07/28,5658,1989,34842,371,1338,188,492,5550,1463,1487,214,3,N\A
61,2010/08/13,6533,3590,34842,487,2323,328,643,4635,2677,-103,231,3,N\A
61,2010/08/29,6168,4687,2066,739,3119,648,882,4621,2653,28,247,3,N\A
61,2010/09/14,7696,3410,2116,254,1951,138,343,281,2155,2055,259,0,N\A
61,2010/09/30,8237,5733,34897,313,3238,315,854,4043,2238,2247,280,1,N\A
61,2010/10/16,6532,3049,34838,410,1955,233,540,1709,2908,2300,298,3,N\A
61,2010/11/01,4816,2484,2116,771,2204,321,834,279,3231,2344,307,0,N\A
61,2010/11/17,4454,2153,2116,701,1827,395,1074,287,3634,2340,323,0,N\A
61,2010/12/03,4735,2919,2261,942,2637,503,1269,5946,4512,457,345,1,N\A
61,2010/12/19,3303,1414,2185,740,1470,401,848,3711,4401,472,1,1,N\A
62,2010/01/01,4662,2612,2189,818,2247,464,1425,6217,3626,2390,13,1,N\A
62,2010/01/17,3200,2190,2116,1535,2980,760,2249,560,3969,2313,19,0,N\A
62,2010/02/02,3012,2019,2116,1612,3002,729,2198,579,3696,2270,35,0,N\A
62,2010/02/18,2837,1999,2116,1749,3135,840,2729,595,3307,2162,51,0,N\A
62,2010/03/06,2867,1835,2116,1374,2479,756,2242,3247,2681,2128,65,0,N\A
62,2010/03/22,3048,1956,2185,1442,2707,693,2307,3238,2207,2019,81,1,N\A
62,2010/04/07,2884,1967,2116,1591,2881,805,2392,3228,1824,1880,97,0,N\A
62,2010/04/23,3097,2357,34842,1482,2812,1013,1648,6362,2965,-105,114,3,N\A
62,2010/05/09,2513,1938,2120,2085,3485,1059,2955,4453,2519,-247,135,0,N\A
