site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,29.15,116.17,28,6,348,203
2,29.024,116.189,28,6,381,233
3,52.097,141.368,26,3,1641,1896
4,52.105,141.371,26,3,1638,1894
5,52.101,141.37,26,3,1639,1895
6,52.088,141.345,26,3,1642,1898
7,52.14,141.766,26,3,1680,1885
8,29.15,116.17,28,6,348,203
9,29.063,116.213,28,6,377,224
10,40.297,118.055,27,4,8,2328
11,42.918,122.373,26,4,2306,1699
12,43.174,122.655,26,4,2266,1637
13,51.737,139.223,26,3,1490,1982
14,59.024,157.305,26,3,229,233
15,59.132,157.601,26,3,204,207
16,59.213,157.328,26,3,125,188
17,59.314,157.987,26,3,148,164
18,59.901,158.466,25,3,2271,23
19,61.691,158.28,25,2,1213,1993
20,62.462,162.526,25,2,1232,1808
21,62.46,162.527,25,2,1233,1809
22,62.46,162.52,25,2,1233,1809
23,62.565,162.534,25,2,1171,1783
24,62.457,162.528,25,2,1235,1809
25,62.452,162.519,25,2,1237,1811
26,62.473,162.54,25,2,1227,1805
27,62.471,162.535,25,2,1228,1806
28,62.475,162.611,25,2,1234,1805
29,62.478,162.623,25,2,1233,1804
30,62.467,162.623,25,2,1240,1807
31,62.472,162.608,25,2,1235,1806
32,62.473,162.612,25,2,1235,1805
33,62.475,162.606,25,2,1233,1805
34,62.473,162.614,25,2,1235,1805
35,64.196,170.076,25,2,966,1392
36,64.194,170.03,25,2,962,1392
37,64.194,170.031,25,2,963,1392
38,64.194,170.033,25,2,963,1392
39,64.189,170.047,25,2,967,1394
40,64.192,170.026,25,2,963,1393
41,64.192,170.027,25,2,963,1393
42,64.194,170.027,25,2,962,1392
43,64.196,170.027,25,2,961,1392
44,64.194,170.032,25,2,963,1392
45,64.199,170.056,25,2,962,1391
46,64.194,170.028,25,2,962,1392
47,63.988,171.262,25,2,1224,1442
48,63.99,171.272,25,2,1224,1441
49,63.987,171.263,25,2,1225,1442
50,63.988,171.265,25,2,1224,1442
51,64.012,171.291,25,2,1212,1436
52,64.031,171.275,25,2,1198,1432
53,64.029,171.297,25,2,1201,1432
54,64.032,171.285,25,2,1198,1431
55,64.029,171.295,25,2,1201,1432
56,64.033,171.3,25,2,1199,1431
57,64.03,171.292,25,2,1200,1432
58,64.03,171.295,25,2,1200,1432
59,64.029,171.295,25,2,1201,1432
60,64.029,171.3,25,2,1202,1432
61,64.029,171.294,25,2,1201,1432
62,64.028,171.298,25,2,1202,1432
63,64.029,171.298,25,2,1201,1432
64,64.031,171.3,25,2,1200,1432
65,64.028,171.298,25,2,1202,1432
66,64.027,171.295,25,2,1202,1433
67,64.029,171.299,25,2,1202,1432
68,64.029,171.297,25,2,1201,1432
69,64.029,171.296,25,2,1201,1432
70,64.03,171.28,25,2,1199,1432
71,63.986,171.26,25,2,1225,1442
72,63.989,171.266,25,2,1224,1442
73,63.995,171.266,25,2,1220,1440
74,63.989,171.26,25,2,1223,1442
75,63.99,171.261,25,2,1223,1441
76,63.99,171.271,25,2,1224,1441
77,63.987,171.259,25,2,1224,1442
78,64.048,171.265,25,2,1186,1427
79,64.056,171.278,25,2,1182,1426
80,64.056,171.288,25,2,1183,1426
81,64.055,171.281,25,2,1183,1426
82,64.055,171.281,25,2,1183,1426
83,64.056,171.284,25,2,1183,1426
84,64.058,171.28,25,2,1181,1425
85,64.057,171.271,25,2,1181,1425
86,64.055,171.284,25,2,1183,1426
87,64.056,171.285,25,2,1183,1426
88,64.055,171.283,25,2,1183,1426
89,64.054,171.293,25,2,1185,1426
90,64.069,171.289,25,2,1175,1422
91,64.056,171.281,25,2,1182,1426
92,64.056,171.285,25,2,1183,1426
93,64.054,171.283,25,2,1184,1426
94,64.059,171.279,25,2,1180,1425
95,64.051,171.277,25,2,1185,1427
96,64.051,171.293,25,2,1187,1427
97,64.054,171.293,25,2,1185,1426
98,64.051,171.3,25,2,1187,1427
99,64.051,171.298,25,2,1187,1427
100,64.05,171.293,25,2,1187,1427
101,64.038,171.316,25,2,1197,1430
102,64.055,171.294,25,2,1184,1426
103,64.054,171.294,25,2,1185,1426
104,64.046,171.288,25,2,1189,1428
105,64.045,171.286,25,2,1190,1428
106,64.046,171.288,25,2,1189,1428
107,64.045,171.293,25,2,1191,1428
108,64.045,171.29,25,2,1190,1428
109,64.046,171.288,25,2,1189,1428
110,64.044,171.283,25,2,1190,1428
111,64.047,171.29,25,2,1189,1428
112,64.057,171.281,25,2,1182,1425
113,64.022,171.277,25,2,1204,1434
114,64.028,171.297,25,2,1202,1432
115,64.028,171.293,25,2,1202,1432
116,64.026,171.279,25,2,1201,1433
117,64.032,171.364,25,2,1206,1431
118,64.035,171.355,25,2,1204,1431
119,64.003,171.431,25,2,1232,1438
120,64.04,171.363,25,2,1201,1429
121,64.039,171.365,25,2,1202,1430
122,64.032,171.38,25,2,1208,1431
123,64.035,171.378,25,2,1206,1431
124,64.035,171.368,25,2,1205,1431
125,64.036,171.374,25,2,1205,1430
126,64.034,171.371,25,2,1206,1431
127,64.035,171.368,25,2,1205,1431
128,64.032,171.369,25,2,1207,1431
129,64.035,171.365,25,2,1205,1431
130,64.035,171.364,25,2,1204,1431
131,64.035,171.369,25,2,1205,1431
132,64.04,171.358,25,2,1201,1429
133,64.037,171.407,25,2,1208,1430
134,64.037,171.363,25,2,1203,1430
135,64.038,171.363,25,2,1202,1430
136,64.037,171.369,25,2,1204,1430
137,64.034,171.372,25,2,1206,1431
138,64.041,171.337,25,2,1198,1429
139,64.043,171.355,25,2,1198,1429
140,64.036,171.361,25,2,1204,1430
141,64.039,171.369,25,2,1202,1430
142,64.037,171.369,25,2,1204,1430
143,64.038,171.369,25,2,1203,1430
144,64.035,171.368,25,2,1205,1431
145,64.035,171.371,25,2,1205,1431
146,64.024,171.402,25,2,1216,1433
147,64.024,171.29,25,2,1204,1433
148,64.024,171.292,25,2,1204,1433
149,64.024,171.289,25,2,1204,1433
150,64.025,171.287,25,2,1203,1433
151,64.023,171.291,25,2,1205,1433
152,64.024,171.286,25,2,1203,1433
153,64.023,171.289,25,2,1204,1433
154,64.023,171.293,25,2,1205,1433
155,64.023,171.292,25,2,1205,1433
156,64.027,171.292,25,2,1202,1433
157,64.023,171.291,25,2,1205,1433
158,64.024,171.294,25,2,1204,1433
159,64.029,171.355,25,2,1207,1432
160,64.029,171.356,25,2,1207,1432
161,64.029,171.355,25,2,1207,1432
162,64.029,171.354,25,2,1207,1432
163,64.03,171.359,25,2,1207,1432
164,64.029,171.371,25,2,1209,1432
165,64.032,171.375,25,2,1208,1431
166,64.031,171.37,25,2,1208,1432
167,64.03,171.366,25,2,1208,1432
168,64.03,171.371,25,2,1208,1432
169,64.036,171.367,25,2,1204,1430
170,64.029,171.369,25,2,1209,1432
171,64.031,171.37,25,2,1208,1432
172,64.03,171.369,25,2,1208,1432
173,64.033,171.366,25,2,1206,1431
174,64.024,171.382,25,2,1213,1433
175,64.019,171.283,25,2,1206,1434
176,64.022,171.281,25,2,1204,1434
177,64.02,171.284,25,2,1206,1434
178,64.02,171.282,25,2,1206,1434
179,64.022,171.277,25,2,1204,1434
180,64.024,171.286,25,2,1203,1433
181,63.97,171.286,25,2,1238,1446
182,63.969,171.289,25,2,1239,1446
183,63.968,171.288,25,2,1240,1447
184,63.971,171.286,25,2,1238,1446
185,63.969,171.29,25,2,1239,1446
186,63.97,171.286,25,2,1238,1446
187,63.959,171.292,25,2,1246,1449
188,63.966,171.284,25,2,1241,1447
189,59.63,154.257,25,3,1915,88
190,59.633,154.261,25,3,1914,87
191,59.634,154.268,25,3,1915,87
192,59.632,154.245,25,3,1913,87
193,59.635,154.2,25,3,1906,87
194,59.626,154.091,25,3,1898,89
195,59.616,154.258,25,3,1923,91
196,59.617,154.258,25,3,1923,91
197,59.617,154.261,25,3,1923,91
198,54.281,142.595,26,3,778,1372
199,54.291,142.584,26,3,771,1369
200,54.293,142.587,26,3,771,1369
201,54.29,142.586,26,3,772,1369
202,54.291,142.587,26,3,772,1369
203,54.285,142.584,26,3,774,1371
204,54.285,142.581,26,3,774,1371
205,54.292,142.543,26,3,765,1369
206,54.294,142.546,26,3,764,1368
207,54.294,142.552,26,3,765,1368
208,54.294,142.551,26,3,765,1368
209,54.295,142.552,26,3,765,1368
210,54.287,142.579,26,3,772,1370
211,54.285,142.557,26,3,770,1371
212,54.288,142.589,26,3,773,1370
213,54.312,142.16,26,3,702,1364
214,54.286,142.585,26,3,774,1370
215,53.018,141.329,26,3,1202,1675
216,53.016,141.339,26,3,1205,1675
217,53.007,141.336,26,3,1209,1677
218,52.981,141.314,26,3,1218,1684
219,53.012,141.347,26,3,1208,1676
220,53.034,141.348,26,3,1198,1671
221,53.035,141.35,26,3,1197,1671
222,53.037,141.357,26,3,1197,1670
223,52.98,141.289,26,3,1215,1684
224,53.006,141.303,26,3,1204,1678
225,53.018,141.445,26,3,1219,1675
226,53.01,141.312,26,3,1204,1677
227,52.952,141.298,26,3,1229,1691
228,53.027,141.572,26,3,1233,1673
229,53.018,141.315,26,3,1200,1675
230,39.3,128.116,27,5,2192,167
231,29.15,116.17,28,6,348,203
232,29.096,115.889,28,6,301,216
233,28.937,116.505,28,6,468,254
234,45.528,129.835,27,4,228,1072
235,47.108,137.166,27,4,804,693
236,52.45,138.704,26,3,1086,1811
237,62.327,163.412,25,2,1412,1841
238,61.976,164.055,25,2,1697,1925
239,61.855,163.584,25,2,1717,1954
240,61.942,164.027,25,2,1715,1933
241,61.957,164.092,25,2,1713,1929
242,61.959,164.103,25,2,1713,1929
243,61.945,164.03,25,2,1713,1932
244,61.955,164.125,25,2,1718,1930
245,61.962,164.078,25,2,1708,1928
246,62.448,165.584,25,2,1580,1811
247,62.417,165.751,25,2,1618,1819
248,62.394,165.462,25,2,1600,1824
249,63.066,163.519,25,2,974,1663
250,62.422,165.712,25,2,1610,1818
251,62.461,165.678,25,2,1582,1808
252,62.319,165.828,25,2,1686,1842
253,62.435,165.67,25,2,1597,1815
254,62.403,165.721,25,2,1623,1822
255,62.421,165.637,25,2,1602,1818
256,62.446,165.723,25,2,1597,1812
257,64.61,170.927,25,2,788,1293
258,64.613,170.934,25,2,786,1292
259,64.607,170.912,25,2,788,1293
260,64.61,170.91,25,2,786,1293
261,64.599,170.95,25,2,797,1295
262,64.621,170.818,25,2,769,1290
263,64.586,170.959,25,2,806,1298
264,64.58,171.022,25,2,817,1300
265,64.578,170.93,25,2,809,1300
266,64.592,170.838,25,2,790,1297
267,64.681,170.802,25,2,729,1276
268,64.617,170.947,25,2,785,1291
269,64.593,171.038,25,2,810,1297
270,64.594,170.96,25,2,801,1296
271,64.631,170.961,25,2,777,1288
272,64.614,170.95,25,2,787,1292
273,64.591,170.891,25,2,796,1297
274,64.228,169.825,25,2,919,1384
275,64.609,170.922,25,2,788,1293
276,64.585,170.936,25,2,805,1299
277,64.613,170.953,25,2,788,1292
278,64.625,170.83,25,2,768,1289
279,64.754,171.029,25,2,705,1258
280,64.611,170.905,25,2,785,1292
281,64.61,170.918,25,2,787,1293
282,64.632,170.895,25,2,770,1287
283,64.615,170.942,25,2,786,1291
284,64.575,170.958,25,2,813,1301
285,64.64,170.822,25,2,757,1285
286,64.609,170.941,25,2,790,1293
287,64.636,171.058,25,2,784,1286
288,64.615,170.96,25,2,788,1291
289,64.607,170.888,25,2,785,1293
290,64.654,170.935,25,2,760,1282
291,64.856,170.86,25,2,621,1234
292,64.855,170.869,25,2,623,1234
293,64.721,170.965,25,2,720,1266
294,64.814,170.739,25,2,636,1244
295,64.816,170.728,25,2,634,1243
296,64.817,170.834,25,2,644,1243
297,64.817,170.824,25,2,643,1243
298,64.833,170.781,25,2,628,1239
299,64.825,170.845,25,2,640,1241
300,65.296,172.361,25,2,486,1128
301,65.129,171.932,25,2,553,1168
302,65.173,171.931,25,2,524,1157
303,65.133,171.888,25,2,545,1167
304,65.14,171.953,25,2,547,1165
305,65.083,171.671,25,2,556,1179
306,65.168,171.805,25,2,514,1159
307,65.165,171.771,25,2,513,1159
308,65.161,171.812,25,2,520,1160
309,65.166,171.745,25,2,510,1159
310,65.154,171.84,25,2,527,1162
311,65.157,171.772,25,2,518,1161
312,65.149,171.838,25,2,530,1163
313,65.145,171.809,25,2,530,1164
314,65.154,171.789,25,2,522,1162
315,65.156,171.769,25,2,518,1162
316,65.133,171.769,25,2,533,1167
317,65.156,171.822,25,2,524,1162
318,65.159,171.748,25,2,514,1161
319,65.162,171.792,25,2,517,1160
320,65.156,171.794,25,2,521,1162
321,65.164,171.804,25,2,517,1160
322,65.162,171.776,25,2,515,1160
323,65.135,171.803,25,2,536,1167
324,65.16,171.756,25,2,515,1161
325,65.113,171.822,25,2,552,1172
326,65.093,171.822,25,2,565,1177
327,65.184,171.711,25,2,494,1155
328,65.157,171.782,25,2,519,1161
329,65.27,171.683,25,2,435,1134
330,65.166,171.785,25,2,514,1159
331,65.165,171.804,25,2,516,1159
332,65.155,171.73,25,2,515,1162
333,65.168,171.713,25,2,505,1159
334,65.154,171.774,25,2,520,1162
335,65.157,171.764,25,2,517,1161
336,65.082,171.88,25,2,578,1179
337,65.157,171.741,25,2,515,1161
338,65.137,171.777,25,2,532,1166
339,65.18,171.8,25,2,506,1156
340,65.161,171.782,25,2,517,1160
341,65.16,171.771,25,2,516,1161
342,65.16,171.761,25,2,515,1161
343,65.16,171.783,25,2,517,1161
344,65.136,171.735,25,2,528,1166
345,65.163,171.686,25,2,506,1160
346,65.129,171.762,25,2,535,1168
347,65.138,171.729,25,2,526,1166
348,65.132,171.734,25,2,531,1167
349,65.126,171.748,25,2,536,1169
350,65.135,171.74,25,2,529,1167
351,65.128,171.765,25,2,536,1168
352,65.127,171.742,25,2,535,1169
353,65.132,171.752,25,2,532,1167
354,65.162,171.846,25,2,522,1160
355,65.085,171.658,25,2,554,1179
356,65.147,171.763,25,2,524,1164
357,65.147,171.757,25,2,523,1164
358,65.152,171.753,25,2,519,1163
359,65.146,171.77,25,2,525,1164
360,65.144,171.763,25,2,526,1164
361,65.15,171.756,25,2,521,1163
362,65.062,172.514,25,2,655,1184
363,65.113,172.313,25,2,601,1172
364,65.112,172.4,25,2,611,1172
365,65.091,172.182,25,2,603,1177
366,65.121,172.366,25,2,602,1170
367,65.092,172.138,25,2,598,1177
368,65.12,172.362,25,2,602,1170
369,65.014,172.527,25,2,688,1196
370,65.114,172.391,25,2,609,1172
371,65.12,172.351,25,2,601,1170
372,65.12,172.415,25,2,607,1170
373,64.504,170.501,25,2,812,1318
374,64.496,170.59,25,2,826,1320
375,59.46,163.003,26,3,677,129
376,59.302,163.493,26,3,830,167
