id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m,MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
1,2011/01/01,285,2769,128,338,3121,1805,729,1073741824,4454,5111,11886,204,1,2011/01/01,0.0285,0.2769,0.0128,0.0338,0.3121,0.1805,0.0729,0.813359528487,0.459353502478,0.210756449497,0.583190394511,-0.684554363042,-0.0597623089983,0000000011001100,clear,yes,land,high,none,no cloud,no fire,no,no,no,no,Yes,NA,0.813359528487,0.459353502478,0.210756449497,0.583190394511,-0.684554363042,-0.0597623089983
1,2011/01/09,3073,3887,3124,3204,4508,3687,2873,1073741824,4771,3110,-4828,1289,16,2011/01/16,0.3073,0.3887,0.3124,0.3204,0.4508,0.3687,0.2873,0.116954022989,0.228780213603,0.0264061262213,0.15,-0.070091423596,-0.0739726027397,0000010100001001,cloudy,no,land,climatology,small,cloud,no fire,no,no,no,no,Yes,NA,0.116954022989,0.228780213603,0.0264061262213,0.15,-0.070091423596,-0.0739726027397
1,2011/01/17,3557,4654,3580,3747,4926,4597,3228,1073741824,4915,4932,-4664,1033,18,2011/01/18,0.3557,0.4654,0.358,0.3747,0.4926,0.4597,0.3228,0.133601266594,0.29985786136,0.00616149605448,0.180918548592,-0.101869606903,-0.0283924843424,0000010000001001,cloudy,no,land,climatology,none,cloud,no fire,no,no,no,no,Yes,NA,0.133601266594,0.29985786136,0.00616149605448,0.180918548592,-0.101869606903,-0.0283924843424
1,2011/01/25,2115,3306,1971,2207,3633,3183,2317,1073741824,4388,507,-4998,1033,30,2011/01/30,0.2115,0.3306,0.1971,0.2207,0.3633,0.3183,0.2317,0.219701162147,0.265528158024,0.0189551548775,0.175884759025,-0.18107606679,-0.0471249459576,0000010000001001,cloudy,no,land,climatology,none,cloud,no fire,no,no,no,no,Yes,NA,0.219701162147,0.265528158024,0.0189551548775,0.175884759025,-0.18107606679,-0.0471249459576
1,2011/02/02,232,2008,120,157,2610,1802,883,1073741824,3722,5734,12478,200,40,2011/02/09,0.0232,0.2008,0.012,0.0157,0.261,0.1802,0.0883,0.792857142857,0.3552,0.0540682414698,0.38913870633,-0.839714139867,-0.130359462971,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.792857142857,0.3552,0.0540682414698,0.38913870633,-0.839714139867,-0.130359462971
1,2011/02/10,708,2700,355,680,3737,2660,1474,1073741824,4401,4095,-4169,136,41,2011/02/10,0.0708,0.27,0.0355,0.068,0.3737,0.266,0.1474,0.584507042254,0.348605229078,0.00746268656716,0.293723047437,-0.592814371257,-0.161099891254,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.584507042254,0.348605229078,0.00746268656716,0.293723047437,-0.592814371257,-0.161099891254
1,2011/02/18,623,1934,311,598,2787,2591,1612,1073741824,3694,955,13517,136,53,2011/02/22,0.0623,0.1934,0.0311,0.0598,0.2787,0.2591,0.1612,0.512710207274,0.245698864275,-0.145193370166,0.0908065425832,-0.624960802759,-0.180682058886,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.512710207274,0.245698864275,-0.145193370166,0.0908065425832,-0.624960802759,-0.180682058886
1,2011/02/26,878,1434,1061,954,1865,1694,1064,1073741824,3279,4362,13319,8206,58,2011/02/27,0.0878,0.1434,0.1061,0.0954,0.1865,0.1694,0.1064,0.240484429066,0.158957058723,-0.0831202046036,0.148118494796,-0.279456193353,-0.130645650197,0010000000001110,mixed,yes,land,climatology,none,no cloud,no fire,no,yes,no,no,Yes,Yes,0.519745881467,0.233001755952,-0.148315038694,0.0742835552542,-0.647001977365,-0.18069344134
1,2011/03/06,508,1639,247,441,2362,2224,1460,1073741824,2954,5121,13329,200,65,2011/03/06,0.0508,0.1639,0.0247,0.0441,0.2362,0.2224,0.146,0.526781555659,0.220304647629,-0.151436707222,0.0577605679251,-0.66904315197,-0.180704823794,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.526781555659,0.220304647629,-0.151436707222,0.0577605679251,-0.66904315197,-0.180704823794
1,2011/03/14,830,2441,435,776,3151,3226,2110,1073741824,3134,3063,-2723,136,80,2011/03/21,0.083,0.2441,0.0435,0.0776,0.3151,0.3226,0.211,0.492509935799,0.284458099375,-0.138521263455,0.0727312678532,-0.612193903048,-0.126967095851,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.492509935799,0.284458099375,-0.138521263455,0.0727312678532,-0.612193903048,-0.126967095851
