site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,39.0339,8.4047,18,5,783,115
2,44.84,11.62,18,4,988,619
3,37.08,15.29,19,5,263,350
id,Date,8-day daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Average time of daytime Land-surface Temperature observation,Average view zenith angle of daytime Land-surface Temperature,8-day nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Average time of nighttime Land-surface Temperature observation,Average view zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,the days in clear-sky conditions and with validate LSTs,the nights in clear-sky conditions and with validate LSTs,actual_date
1,2010/01/01,14272,0,111,72,14040,65,224,94,246,247,71,163,N\A
1,2010/01/09,14147,65,107,34,13881,65,218,48,246,247,1,84,N\A
1,2010/01/17,14253,65,111,76,14032,65,225,100,246,247,118,48,N\A
1,2010/01/25,14229,0,112,88,13963,65,221,62,246,247,8,148,N\A
1,2010/02/02,14327,0,110,72,14033,65,218,44,246,247,19,59,N\A
1,2010/02/10,14023,65,110,62,13935,65,219,56,246,247,6,208,N\A
1,2010/02/18,14389,65,109,63,14143,65,223,91,246,247,255,100,N\A
1,2010/02/26,14379,0,110,66,14162,65,222,75,246,248,32,105,N\A
1,2010/03/06,14244,0,106,41,13923,65,227,117,246,247,48,128,N\A
1,2010/03/14,14485,0,107,45,14012,65,218,44,246,247,255,85,N\A
1,2010/03/22,14643,0,110,70,14125,65,220,69,246,247,247,37,N\A
1,2010/03/30,14657,0,107,42,14134,0,219,49,246,247,95,45,N\A
1,2010/04/07,14798,0,111,78,14081,65,222,76,246,247,16,248,N\A
1,2010/04/15,14834,0,106,39,14194,65,218,51,246,247,118,56,N\A
1,2010/04/23,14874,0,110,72,14319,0,219,58,246,247,220,252,N\A
1,2010/05/01,14669,65,111,64,14208,65,224,91,246,246,180,242,N\A
1,2010/05/09,14836,0,115,109,14257,65,227,117,246,247,133,128,N\A
1,2010/05/17,14884,0,106,37,14287,0,220,58,246,247,253,255,N\A
1,2010/05/25,15014,0,108,50,14239,65,224,89,246,247,11,162,N\A
1,2010/06/02,15131,0,107,45,14424,0,221,69,246,247,255,91,N\A
1,2010/06/10,15023,0,113,96,14512,0,220,64,246,247,197,46,N\A
1,2010/06/18,15057,0,109,56,14381,65,222,74,246,247,235,255,N\A
1,2010/06/26,15408,0,110,71,14644,0,221,69,246,247,127,127,N\A
1,2010/07/04,15448,0,108,52,14703,0,220,58,246,247,191,255,N\A
1,2010/07/12,15484,0,109,63,14809,0,220,61,246,247,255,255,N\A
1,2010/07/20,15404,0,109,60,14729,0,221,67,246,247,223,191,N\A
1,2010/07/28,15318,0,109,62,14639,0,219,53,246,247,255,254,N\A
1,2010/08/05,15306,0,109,60,14608,0,222,78,246,247,255,127,N\A
1,2010/08/21,15418,0,107,45,14718,0,220,58,246,247,255,255,N\A
1,2010/08/29,15285,0,111,81,14570,65,219,59,246,247,215,239,N\A
1,2010/09/06,15247,0,110,68,14577,65,219,54,246,247,239,125,N\A
1,2010/09/14,15194,0,108,51,14370,65,220,60,246,247,111,15,N\A
1,2010/09/22,14976,65,110,68,14221,65,218,46,246,247,171,24,N\A
1,2010/09/30,15039,0,110,70,14429,0,219,59,246,247,207,239,N\A
1,2010/10/08,14948,0,108,57,14510,0,220,64,246,247,75,58,N\A
1,2010/10/16,14696,65,110,73,14236,65,220,67,246,248,241,117,N\A
1,2010/10/24,14586,65,106,36,14220,0,217,40,246,247,125,61,N\A
1,2010/11/01,14555,65,107,49,14228,65,216,28,246,247,124,58,N\A
1,2010/11/09,14478,65,110,68,14252,0,218,43,246,247,126,60,N\A
1,2010/11/17,14385,65,110,70,14091,65,218,51,246,247,207,248,N\A
1,2010/11/25,14377,0,111,70,0,2,255,255,246,247,3,0,N\A
1,2010/12/03,14405,0,110,71,14130,65,220,65,246,247,93,219,N\A
1,2010/12/11,14243,65,107,44,13879,65,217,42,246,247,150,22,N\A
1,2010/12/19,14367,0,108,55,0,2,255,255,246,247,12,0,N\A
1,2010/12/27,14312,0,108,49,13892,65,219,50,246,247,19,7,N\A
2,2010/01/01,0,2,255,255,13587,81,215,22,240,243,0,32,N\A
2,2010/01/09,13972,81,111,66,13685,81,214,21,241,244,166,70,N\A
2,2010/01/17,0,2,255,255,13607,81,222,86,240,243,0,64,N\A
2,2010/01/25,0,2,255,255,13496,17,223,93,240,243,0,136,N\A
2,2010/02/02,14074,81,107,37,13539,0,221,71,243,245,96,66,N\A
2,2010/02/10,14062,81,113,94,13715,81,220,61,242,244,8,28,N\A
2,2010/02/18,14326,81,112,70,13865,81,224,101,240,243,136,68,N\A
2,2010/02/26,14364,81,110,61,13920,81,218,47,242,244,18,17,N\A
2,2010/03/06,14129,81,116,108,13598,81,215,35,241,244,5,230,N\A
2,2010/03/14,14439,81,115,94,13855,81,218,47,242,244,19,55,N\A
2,2010/03/22,14780,81,109,53,14097,81,218,53,240,243,112,118,N\A
2,2010/03/30,14733,81,115,96,14033,81,221,78,240,243,154,203,N\A
2,2010/04/07,14786,81,112,77,14061,81,219,63,240,243,223,215,N\A
2,2010/04/15,14837,81,109,59,14234,81,220,63,240,243,122,121,N\A
2,2010/04/23,15117,81,108,47,14430,81,220,65,240,243,252,246,N\A
2,2010/05/01,15172,145,108,43,14232,81,222,86,240,243,1,160,N\A
2,2010/05/09,14997,145,111,73,14178,81,227,116,240,243,25,144,N\A
2,2010/05/17,15154,81,112,74,14379,81,218,48,241,244,210,135,N\A
2,2010/05/25,15323,81,110,63,14563,81,219,57,240,243,199,91,N\A
2,2010/06/02,15364,81,111,69,14686,81,221,77,240,243,186,184,N\A
2,2010/06/10,15451,81,112,85,14607,17,218,52,240,243,16,207,N\A
2,2010/06/18,15322,81,108,45,14540,81,221,72,240,243,225,105,N\A
2,2010/06/26,15561,81,114,93,14769,81,217,42,240,243,20,91,N\A
2,2010/07/04,15561,81,111,67,14837,81,220,65,240,243,169,249,N\A
2,2010/07/12,15516,81,106,36,14917,81,216,41,240,243,248,221,N\A
