site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,14.82651,99.67715,27,7,763,620
2,15.10653,100.02415,27,7,788,587
3,14.53313,100.12565,27,7,830,656
4,14.6705,100.37515,27,7,852,639
5,14.76528,100.44693,27,7,855,628
6,14.52054,100.55989,27,7,881,657
7,14.51312,100.82942,27,7,913,658
8,14.29234,100.13954,27,7,844,684
9,14.28868,100.60973,27,7,899,685
10,14.34029,100.86974,27,7,927,679
11,14.2546,101.06443,27,7,954,689
12,14.05285,100.1741,27,7,861,713
13,14.1545,100.50478,27,7,894,701
14,13.89866,100.8131,27,7,943,732
15,13.96792,101.20529,27,7,985,723
16,14.05771,101.35052,27,7,997,713
17,13.49009,100.06744,27,7,876,781
18,13.59776,100.58941,27,7,932,768
19,13.58976,101.03383,27,7,984,769
20,13.72198,101.2018,27,7,997,753
21,13.33792,100.93623,27,7,985,799
22,13.50474,101.16583,27,7,1004,779
id,Date,8-day daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Average time of daytime Land-surface Temperature observation,Average view zenith angle of daytime Land-surface Temperature,8-day nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Average time of nighttime Land-surface Temperature observation,Average view zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,the days in clear-sky conditions and with validate LSTs,the nights in clear-sky conditions and with validate LSTs,actual_date
1,2012/01/01,15180,0,104,40,14695,65,223,61,246,248,225,247,N\A
1,2012/01/09,15055,0,104,48,14757,65,221,44,246,248,3,130,N\A
1,2012/01/17,15332,0,105,47,14805,0,224,78,247,248,130,163,N\A
1,2012/01/25,15367,0,108,82,14781,65,221,41,247,248,5,3,N\A
1,2012/02/02,15353,0,107,69,14887,0,224,67,246,248,250,244,N\A
1,2012/02/10,15315,65,107,72,14844,0,222,53,246,248,183,107,N\A
1,2012/02/18,15436,0,107,67,14785,0,223,58,246,248,248,222,N\A
1,2012/02/26,15573,0,108,77,14950,0,224,69,246,248,149,58,N\A
1,2012/03/05,15537,65,108,82,14937,0,221,46,247,248,2,3,N\A
1,2012/03/13,15591,0,108,71,14927,0,221,38,246,248,240,225,N\A
1,2012/03/21,15418,0,106,63,14876,0,221,51,246,248,75,7,N\A
1,2012/03/29,15340,65,105,54,0,2,255,255,246,248,115,0,N\A
1,2012/04/06,15455,0,108,71,14903,0,223,58,247,248,96,116,N\A
1,2012/04/14,15488,65,106,60,15002,0,222,49,247,248,69,224,N\A
1,2012/04/22,15446,65,103,29,14997,0,224,77,246,248,9,5,N\A
1,2012/04/30,15452,65,105,55,0,2,255,255,246,248,7,0,N\A
1,2012/05/08,15218,0,103,29,0,2,255,255,246,248,9,0,N\A
1,2012/05/16,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2012/05/24,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2012/06/01,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2012/06/09,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2012/06/17,15070,65,102,19,0,2,255,255,246,248,64,0,N\A
1,2012/06/25,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2012/07/03,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2012/07/11,0,2,255,255,14889,0,221,36,246,248,0,16,N\A
