1,20.23,-100.26,8,6,1421,2344
2,31.21,27.11,20,5,764,2109
id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date
1,2000/02/18,1588,2773,815,1196,3978,3588,2369,1073741824,4185,6435,-3733,136,55,2000/02/24
1,2000/02/26,1313,2227,667,952,3069,2918,1997,1073741824,3163,1381,13367,72,63,2000/03/03
1,2000/03/05,1178,2079,533,826,-28672,-28672,3,1136132099,2829,2651,13279,72,70,2000/03/10
1,2000/03/13,1338,2257,636,954,3093,3159,2315,1073741824,2579,1435,13794,72,79,2000/03/19
1,2000/03/21,1465,2501,731,1055,3417,3217,2558,1107296256,2353,128,13164,72,88,2000/03/28
1,2000/03/29,1350,2413,689,979,3371,3240,2333,1073741824,2015,1535,14739,136,95,2000/04/04
1,2000/04/06,1631,2747,746,1121,3763,3681,2717,1073741824,2175,1284,-2864,72,97,2000/04/06
1,2000/04/14,1470,2450,683,1041,3489,3388,2470,1073741824,1556,1553,15889,72,111,2000/04/20
1,2000/04/22,1906,3132,983,1393,4216,4236,3149,1073741824,1767,1248,-1632,72,113,2000/04/22
1,2000/04/30,1360,2390,694,978,3421,3315,2380,1073741824,1290,1534,17683,72,127,2000/05/06
1,2000/05/08,1545,2680,730,1101,3772,3644,2641,1073741824,1391,23,-13037,72,136,2000/05/15
1,2000/05/16,1677,2852,871,1224,3958,3908,2867,1073741824,1678,2700,793,72,138,2000/05/17
1,2000/05/24,599,1212,311,454,1667,1420,901,1073741824,540,5928,-15730,8204,146,2000/05/25
1,2000/06/01,1015,1876,506,744,2737,2656,1956,1073741824,1020,3821,-15467,72,157,2000/06/05
1,2000/06/09,1362,2474,1174,1259,3172,3035,1912,1073741824,2185,5310,1869,8204,165,2000/06/13
1,2000/06/17,1083,2366,779,961,2988,2582,1521,1073741824,1400,1499,-15602,1032,175,2000/06/23
1,2000/06/25,1117,2746,577,941,3580,3164,2081,1073741824,1686,1294,2353,72,177,2000/06/25
1,2000/07/03,891,2460,433,755,2941,2385,1504,1073741824,1452,1544,-15897,136,191,2000/07/09
1,2000/07/11,894,2562,439,759,3122,2613,1683,1073741824,1615,134,-17089,136,200,2000/07/18
1,2000/07/19,1002,3224,493,892,3618,2808,1387,1073741824,2201,4599,1045,8204,204,2000/07/22
1,2000/07/27,1305,3693,649,1111,4318,3560,1987,1073741824,1789,1375,767,8200,209,2000/07/27
1,2000/08/12,1064,3180,717,1018,3267,2354,1444,1073741824,1768,171,17365,8200,232,2000/08/19
1,2000/08/20,755,2485,404,689,2795,2020,1160,1073741824,1465,3896,15190,72,237,2000/08/24
1,2000/08/28,917,2969,467,811,3396,2566,1499,1073741824,2004,245,14008,72,248,2000/09/04
1,2000/09/05,819,2577,434,713,2965,1993,1338,1073741824,2057,1644,13842,72,255,2000/09/11
1,2000/09/13,1289,3509,997,1258,3826,2766,1591,1073741824,2821,5266,-3134,1033,261,2000/09/17
1,2000/09/21,726,2357,552,704,2586,1929,1002,1073741824,2150,5420,11804,8204,267,2000/09/23
1,2000/09/29,1068,2727,550,906,3247,2669,1691,1073741824,2724,1266,-4821,72,273,2000/09/29
1,2000/10/07,900,2449,484,748,3011,2419,1462,1073741824,3029,1517,11975,72,287,2000/10/13
1,2000/10/15,888,2356,465,726,2975,2422,1437,1073741824,3374,107,11430,72,296,2000/10/22
1,2000/10/23,1025,2099,527,801,2735,2566,1759,1073741824,3548,1462,11621,72,303,2000/10/29
1,2000/10/31,1129,2443,565,867,3175,3092,4703,1073741824,3708,1376,-6033,72,305,2000/10/31
1,2000/11/08,854,2051,398,634,2697,2358,1506,1073741824,4007,1489,11513,136,319,2000/11/14
