1,47.1166687,11.3175001,18,4,924,345
2,51.3091667,4.5205556,18,3,339,1042
3,50.3055241,5.9968274,18,3,459,1163
4,46.8153333,9.8559167,18,4,809,382
5,47.285833,7.7319444,18,4,629,325
6,49.5047222,18.541111,19,4,244,59
7,51.1001,10.9143,18,3,822,1067
8,51.0791667,10.453,18,3,788,1070
9,51.273056,10.6554722,18,3,799,1047
10,50.9636111,13.5669444,18,3,1025,1084
11,55.4858694,11.6446444,18,3,791,541
12,74.4732,-20.5503,17,1,539,663
13,39.3459722,-0.3188056,17,5,1170,78
14,61.8475,24.295,19,2,175,978
15,69.1406944,27.2950278,18,2,1166,103
16,67.3618611,26.6378333,19,2,30,316
17,48.67416,7.06556,18,4,559,159
18,44.71711,-0.7693,17,4,1134,633
19,43.74139,3.595833,18,4,311,751
20,46.6911011,19.6012993,19,4,413,397
21,51.9866944,-8.7518056,17,3,553,961
22,31.3449993,35.0514984,20,5,1192,1038
23,41.9040993,13.6051567,19,4,15,971
24,41.84936,13.58814,19,4,14,978
25,41.7052493,12.3761058,18,4,1108,995
26,45.9562,11.28132,18,4,941,485
27,46.11402,11.70334,18,4,973,466
28,46.014678,11.045831,18,4,920,478
29,42.5838694,10.0784,18,4,890,889
30,46.58686,11.43369,18,4,942,409
31,42.40812,11.93001,18,4,1057,911
32,42.39026,11.92093,18,4,1056,913
33,43.7278611,10.284444,18,4,891,752
34,No Data
35,No Data
36,No Data
37,No Data
38,No Data
39,No Data
id,Date,8-day daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Average time of daytime Land-surface Temperature observation,Average view zenith angle of daytime Land-surface Temperature,8-day nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Average time of nighttime Land-surface Temperature observation,Average view zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,the days in clear-sky conditions and with validate LSTs,the nights in clear-sky conditions and with validate LSTs,actual_date
1,2000/03/05,13839,65,114,70,13526,65,219,48,248,248,166,198,N\A
1,2000/03/13,13835,0,108,20,0,2,255,255,250,249,129,0,N\A
1,2000/03/21,13783,0,112,49,13596,65,215,17,249,249,3,3,N\A
1,2000/03/29,14318,65,118,102,13517,65,229,121,244,246,64,64,N\A
1,2000/04/06,14123,65,116,80,13557,65,219,47,247,248,22,38,N\A
1,2000/04/14,14421,65,112,48,13608,65,220,46,246,247,193,129,N\A
1,2000/04/22,14701,65,112,50,0,2,255,255,247,248,3,0,N\A
1,2000/04/30,14770,65,113,58,13999,65,223,72,246,247,8,100,N\A
1,2000/05/08,14729,65,114,65,14168,0,221,63,246,247,206,70,N\A
1,2000/05/16,14398,65,110,31,13868,65,218,32,246,247,160,144,N\A
1,2000/05/24,14585,65,116,87,0,2,255,255,246,247,1,0,N\A
1,2000/06/01,14792,0,110,31,14138,0,220,51,246,247,135,152,N\A
1,2000/06/09,14759,0,114,69,14211,65,219,49,246,247,35,131,N\A
1,2000/06/17,14877,0,112,52,14230,0,221,57,246,247,63,7,N\A
1,2000/06/25,14906,65,117,95,14124,65,219,45,246,247,64,86,N\A
1,2000/07/03,14784,65,114,63,14340,0,222,65,246,247,25,9,N\A
1,2000/07/11,0,2,255,255,13851,65,212,3,247,248,0,128,N\A
1,2000/07/19,14598,65,111,48,14198,0,221,57,246,247,14,12,N\A
1,2000/07/27,14722,65,114,68,14271,0,219,44,246,247,113,48,N\A
1,2000/08/04,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/08/12,15013,0,117,96,14484,65,212,3,246,247,2,2,N\A
1,2000/08/20,14911,0,111,49,14327,0,218,41,246,247,123,125,N\A
1,2000/08/28,14665,65,114,68,13981,65,216,30,246,247,4,49,N\A
1,2000/09/05,14606,0,109,30,14162,0,218,36,246,247,184,240,N\A
1,2000/09/13,14595,0,114,64,14072,65,217,38,246,247,192,113,N\A
