1,No Data
2,No Data
3,No Data
4,No Data
id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_250m_quality_control_flags,actual_date
1,2000/02/18,7267,7685,4096,N\A
1,2000/02/26,699,1557,4096,N\A
1,2000/03/13,4888,5566,4096,N\A
1,2000/03/21,1137,1775,4096,N\A
1,2000/03/29,877,1827,4096,N\A
1,2000/04/06,1003,2023,4096,N\A
1,2000/04/14,929,2062,4096,N\A
1,2000/04/30,1005,2033,4096,N\A
1,2000/05/08,1290,2778,4096,N\A
1,2000/05/24,460,2227,4096,N\A
1,2000/06/09,502,2591,4096,N\A
1,2000/06/17,1472,3964,4096,N\A
1,2000/06/25,244,3116,4096,N\A
1,2000/07/03,265,3703,4096,N\A
1,2000/07/19,327,3720,4096,N\A
1,2000/07/27,198,3404,4096,N\A
1,2000/08/20,231,3072,4096,N\A
1,2000/09/05,350,2804,4096,N\A
1,2000/09/13,323,2373,4096,N\A
1,2000/10/15,513,1451,4096,N\A
1,2000/10/31,497,1353,4096,N\A
1,2000/11/16,3735,4326,4096,N\A
1,2000/11/24,3734,4603,4096,N\A
1,2000/12/02,4070,4495,4096,N\A
1,2000/12/18,2434,2779,4096,N\A
1,2000/12/26,4934,5248,4096,N\A
1,2001/01/01,5244,5858,4096,N\A
1,2001/01/09,5452,5754,4096,N\A
1,2001/01/25,3535,3187,4096,N\A
1,2001/02/10,6705,7012,4096,N\A
1,2001/02/18,6695,6929,4096,N\A
1,2001/02/26,6458,6128,4096,N\A
1,2001/03/06,6967,6856,4096,N\A
1,2001/03/14,6009,5762,4096,N\A
1,2001/04/07,416,995,4096,N\A
1,2001/04/15,548,1172,4096,N\A
1,2001/04/23,695,1598,4096,N\A
1,2001/05/01,2071,2976,4096,N\A
1,2001/05/09,562,1780,4096,N\A
1,2001/05/25,423,2814,4096,N\A
1,2001/06/02,2040,4277,4096,N\A
1,2001/06/26,387,3623,4096,N\A
1,2001/07/04,254,3078,4096,N\A
1,2001/07/12,232,3484,4096,N\A
1,2001/07/20,237,3607,4096,N\A
1,2001/08/05,295,3762,4096,N\A
1,2001/08/13,340,3650,4096,N\A
1,2001/08/29,320,2814,4096,N\A
1,2001/09/14,1214,3232,4096,N\A
1,2001/09/22,383,2190,4096,N\A
1,2001/09/30,490,2022,4096,N\A
1,2001/10/08,554,1615,4096,N\A
1,2001/10/16,640,1609,4096,N\A
1,2001/10/24,3540,4218,4096,N\A
1,2001/11/01,613,1485,4096,N\A
1,2001/11/17,684,1530,4096,N\A
1,2001/11/25,3358,3247,4096,N\A
1,2001/12/03,524,1523,4096,N\A
1,2001/12/19,682,1541,4096,N\A
1,2001/12/27,3316,4021,4096,N\A
1,2002/01/01,3566,4289,4096,N\A
1,2002/01/09,889,1685,4096,N\A
1,2002/01/17,3177,3715,4096,N\A
1,2002/01/25,3007,3813,4096,N\A
1,2002/02/02,4841,5168,4096,N\A
1,2002/02/10,3245,4321,4096,N\A
1,2002/02/26,5900,6387,4096,N\A
1,2002/03/06,6430,6778,4096,N\A
1,2002/03/14,6547,6612,4096,N\A
1,2002/04/07,4193,4380,4096,N\A
1,2002/04/15,464,947,4096,N\A
1,2002/04/23,433,922,4096,N\A
1,2002/05/01,557,1262,4096,N\A
1,2002/05/09,461,1001,4096,N\A
1,2002/05/17,730,1659,4096,N\A
1,2002/05/25,581,2298,4096,N\A
1,2002/06/18,378,2773,4096,N\A
1,2002/07/12,238,3909,4096,N\A
1,2002/07/20,334,4178,4096,N\A
1,2002/07/28,261,4097,4096,N\A
1,2002/08/05,244,3728,4096,N\A
1,2002/08/13,282,3601,4096,N\A
1,2002/08/21,425,3854,4096,N\A
1,2002/08/29,276,2990,4096,N\A
1,2002/09/06,313,2743,4096,N\A
1,2002/09/22,442,3181,4096,N\A
1,2002/09/30,469,1912,4096,N\A
1,2002/10/16,627,1742,4096,N\A
1,2002/10/24,617,1785,4096,N\A
1,2002/11/01,802,2000,4096,N\A
1,2002/11/09,2398,2863,4096,N\A
1,2002/11/17,801,1973,4096,N\A
1,2002/11/25,2540,3352,4096,N\A
1,2002/12/03,1063,1734,4096,N\A
1,2002/12/11,4157,4184,4096,N\A
1,2002/12/27,1202,2332,4096,N\A
1,2003/01/09,2054,3354,4096,N\A
1,2003/01/17,1452,3217,4096,N\A
1,2003/02/02,4775,5468,4096,N\A
1,2003/02/18,4357,5608,4096,N\A
1,2003/02/26,4613,5172,4096,N\A
1,2003/03/14,2036,3116,4096,N\A
1,2003/04/07,819,1772,4096,N\A
1,2003/04/15,1029,2011,4096,N\A
1,2003/04/23,934,1879,4096,N\A
1,2003/05/01,971,1965,4096,N\A
1,2003/05/09,859,1902,4096,N\A
1,2003/06/02,876,2944,4096,N\A
1,2003/06/10,503,2809,4096,N\A
1,2003/06/18,433,3192,4096,N\A
1,2003/06/26,363,4051,4096,N\A
1,2003/07/12,203,3461,4096,N\A
1,2003/07/20,320,4459,4096,N\A
1,2003/07/28,293,4018,4096,N\A
1,2003/08/05,238,3237,4096,N\A
1,2003/08/13,270,3741,4096,N\A
1,2003/08/21,250,3409,4096,N\A
1,2003/09/06,258,3196,4096,N\A
1,2003/10/08,488,1920,4096,N\A
1,2003/10/16,709,1882,4096,N\A
1,2003/10/24,791,2418,4096,N\A
1,2003/11/01,1203,2484,4096,N\A
