id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m,MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
1,2000/02/18,6892,7218,6829,6939,6893,6695,5450,1073741824,5884,4460,-5854,1033,55,2000/02/24,0.6892,0.7218,0.6829,0.6939,0.6893,0.6695,0.545,0.0231041814316,0.110846650799,0.0375907424711,0.139564256394,0.0178964353821,0.0230316774148,0000010000001001,cloudy,no,land,climatology,none,cloud,no fire,no,no,no,no,Yes,NA,0.0231041814316,0.110846650799,0.0375907424711,0.139564256394,0.0178964353821,0.0230316774148
1,2000/02/26,852,1709,389,645,2097,1474,1144,1073741824,5316,2772,11523,136,63,2000/03/03,0.0852,0.1709,0.0389,0.0645,0.2097,0.1474,0.1144,0.334634908239,0.154097889021,0.0738297203896,0.198037153873,-0.391222274658,-0.101944298476,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.334634908239,0.154097889021,0.0738297203896,0.198037153873,-0.391222274658,-0.101944298476
1,2000/03/05,834,1782,403,620,2461,2316,1373,1073741824,5285,908,11639,136,65,2000/03/05,0.0834,0.1782,0.0403,0.062,0.2461,0.2316,0.1373,0.362385321101,0.172194572601,-0.130307467057,0.129635499208,-0.577656675749,-0.160028281876,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.362385321101,0.172194572601,-0.130307467057,0.129635499208,-0.577656675749,-0.160028281876
1,2000/03/13,3408,4401,3310,3521,2905,1110,518,1073741824,4728,4227,11372,37000,77,2000/03/17,0.3408,0.4401,0.331,0.3521,0.2905,0.111,0.0518,0.127160968114,0.247655626496,0.597169297768,0.78938808701,0.520621895919,0.204763208322,1001000010001000,clear,no,land,average,none,no cloud,no fire,yes,no,no,yes,No,No,0.127160968114,0.247655626496,0.597169297768,0.78938808701,0.520621895919,0.204763208322
1,2000/03/21,1094,1759,986,1038,2183,1813,1004,1073741824,4382,3613,11437,1802,86,2000/03/26,0.1094,0.1759,0.0986,0.1038,0.2183,0.1813,0.1004,0.233087977567,0.152132137628,-0.015117581187,0.273253709736,-0.271834444055,-0.107559614409,0000011100001010,mixed,no,land,climatology,high,cloud,no fire,no,no,no,no,Yes,Yes,0.23902870945,0.209434468965,0.29709936668,0.479241225265,0.0186975294291,0.0264569544941
1,2000/03/29,887,1846,422,647,2507,1857,1312,1073741824,4312,36,-4281,72,90,2000/03/30,0.0887,0.1846,0.0422,0.0647,0.2507,0.1857,0.1312,0.350896450787,0.171213311433,-0.00297056440724,0.169094363521,-0.483226837061,-0.151849299334,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.350896450787,0.171213311433,-0.00297056440724,0.169094363521,-0.483226837061,-0.151849299334
1,2000/04/06,949,2006,445,699,3037,2962,1821,1073741824,3999,2945,-5830,72,101,2000/04/10,0.0949,0.2006,0.0445,0.0699,0.3037,0.2962,0.1821,0.357698815567,0.183986074848,-0.192431561997,0.0483407368696,-0.618137121005,-0.204441800516,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.357698815567,0.183986074848,-0.192431561997,0.0483407368696,-0.618137121005,-0.204441800516
1,2000/04/14,871,2056,418,688,2774,2147,1247,1073741824,3753,4945,-5323,72,112,2000/04/21,0.0871,0.2056,0.0418,0.0688,0.2774,0.2147,0.1247,0.404851383669,0.209408355128,-0.0216512015227,0.244928852558,-0.514638447972,-0.148654244306,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.404851383669,0.209408355128,-0.0216512015227,0.244928852558,-0.514638447972,-0.148654244306
1,2000/04/22,932,1915,441,685,2951,2875,1773,1077411841,3426,1008,-5673,72,115,2000/04/24,0.0932,0.1915,0.0441,0.0685,0.2951,0.2875,0.1773,0.345275728837,0.173069474277,-0.200417536534,0.0385032537961,-0.615168539326,-0.212905877517,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.345275728837,0.173069474277,-0.200417536534,0.0385032537961,-0.615168539326,-0.212905877517
1,2000/04/30,967,2046,476,736,3011,2972,1650,1073741824,3188,1987,-5750,72,124,2000/05/03,0.0967,0.2046,0.0476,0.0736,0.3011,0.2972,0.165,0.358114835712,0.188927020591,-0.184535671582,0.107142857143,-0.603020496224,-0.190824599565,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.358114835712,0.188927020591,-0.184535671582,0.107142857143,-0.603020496224,-0.190824599565
