site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,29.066,116.0665,28,6,346,223
2,29.066,116.0667,28,6,346,223
3,29.066,116.0663,28,6,346,223
4,29.066,116.0665,28,6,346,223
5,29.0675,116.0705,28,6,346,223
6,29.0675,116.0712,28,6,346,223
7,29.0663,116.0738,28,6,347,223
8,29.0677,116.073,28,6,347,223
9,29.0672,116.0737,28,6,347,223
10,29.0663,116.0727,28,6,347,223
11,29.0673,116.0732,28,6,347,223
12,29.0677,116.0735,28,6,347,223
13,29.0672,116.0733,28,6,347,223
14,29.0673,116.0733,28,6,347,223
15,29.0675,116.069,28,6,346,223
16,29.0672,116.0693,28,6,346,223
17,29.0682,116.0733,28,6,347,223
18,29.0683,116.0733,28,6,347,223
19,29.0683,116.0735,28,6,347,223
20,29.0683,116.0732,28,6,347,223
21,29.0688,116.073,28,6,347,222
22,29.068,116.0732,28,6,347,223
23,29.0667,116.068,28,6,346,223
24,29.0663,116.0693,28,6,346,223
25,29.0685,116.0722,28,6,346,223
26,29.0672,116.07,28,6,346,223
27,29.0682,116.0735,28,6,347,223
28,29.073,116.0757,28,6,346,221
29,29.067,116.0732,28,6,347,223
30,29.0672,116.0732,28,6,347,223
31,29.0667,116.0733,28,6,347,223
32,29.0662,116.077,28,6,348,223
33,29.0693,116.0723,28,6,346,222
34,29.068,116.0715,28,6,346,223
35,29.0233,115.9867,28,6,339,233
36,29.0233,115.9868,28,6,339,233
37,29.0212,115.9863,28,6,340,234
38,29.0232,115.9887,28,6,340,233
39,29.0227,115.9878,28,6,340,234
40,29.0053,115.9777,28,6,341,238
41,29.0162,115.9815,28,6,340,235
42,29.0235,115.986,28,6,339,233
43,29.0243,115.9863,28,6,339,233
44,29.0245,115.9868,28,6,339,233
45,29.0242,115.9883,28,6,339,233
46,29.0233,115.9878,28,6,339,233
47,29.0235,115.9873,28,6,339,233
48,29.024,115.9882,28,6,339,233
49,29.0233,115.9852,28,6,339,233
50,29.0208,115.9885,28,6,340,234
51,29.0215,115.9888,28,6,340,234
52,29.0215,115.9887,28,6,340,234
53,29.0217,115.9887,28,6,340,234
54,28.9918,115.9793,28,6,345,241
55,28.9918,115.9795,28,6,345,241
56,29.0837,115.9922,28,6,326,219
